"activity" "subject" "measurement_name" "average_ratio"
"LAYING" 1 "tBodyAcc_mean___Z" -0.11320355358
"LAYING" 2 "tBodyAcc_mean___Z" -0.107245610416667
"LAYING" 3 "tBodyAcc_mean___Z" -0.101300477506452
"LAYING" 4 "tBodyAcc_mean___Z" -0.110688150314815
"LAYING" 5 "tBodyAcc_mean___Z" -0.107937603673077
"LAYING" 6 "tBodyAcc_mean___Z" -0.133119570368421
"LAYING" 7 "tBodyAcc_mean___Z" -0.101361036576923
"LAYING" 8 "tBodyAcc_mean___Z" -0.102245365611111
"LAYING" 9 "tBodyAcc_mean___Z" -0.10754972144
"LAYING" 10 "tBodyAcc_mean___Z" -0.117168642362069
"LAYING" 11 "tBodyAcc_mean___Z" -0.108786578070175
"LAYING" 12 "tBodyAcc_mean___Z" -0.108160125666667
"LAYING" 13 "tBodyAcc_mean___Z" -0.104331864532258
"LAYING" 14 "tBodyAcc_mean___Z" -0.0868333315509804
"LAYING" 15 "tBodyAcc_mean___Z" -0.118530240291667
"LAYING" 16 "tBodyAcc_mean___Z" -0.107310493242857
"LAYING" 17 "tBodyAcc_mean___Z" -0.107006279704225
"LAYING" 18 "tBodyAcc_mean___Z" -0.107698927907692
"LAYING" 19 "tBodyAcc_mean___Z" -0.10898146186747
"LAYING" 20 "tBodyAcc_mean___Z" -0.104274322538235
"LAYING" 21 "tBodyAcc_mean___Z" -0.103253832233333
"LAYING" 22 "tBodyAcc_mean___Z" -0.110800924652778
"LAYING" 23 "tBodyAcc_mean___Z" -0.104256776291667
"LAYING" 24 "tBodyAcc_mean___Z" -0.107236237236111
"LAYING" 25 "tBodyAcc_mean___Z" -0.100428830260274
"LAYING" 26 "tBodyAcc_mean___Z" -0.105002540289474
"LAYING" 27 "tBodyAcc_mean___Z" -0.107699732837838
"LAYING" 28 "tBodyAcc_mean___Z" -0.1083448529625
"LAYING" 29 "tBodyAcc_mean___Z" -0.109462068173913
"LAYING" 30 "tBodyAcc_mean___Z" -0.1036581505
"SITTING" 1 "tBodyAcc_mean___Z" -0.104544182255319
"SITTING" 2 "tBodyAcc_mean___Z" -0.109218272456522
"SITTING" 3 "tBodyAcc_mean___Z" -0.0983579203269231
"SITTING" 4 "tBodyAcc_mean___Z" -0.10587459588
"SITTING" 5 "tBodyAcc_mean___Z" -0.108540300265909
"SITTING" 6 "tBodyAcc_mean___Z" -0.110127728709091
"SITTING" 7 "tBodyAcc_mean___Z" -0.122464597625
"SITTING" 8 "tBodyAcc_mean___Z" -0.104461049130435
"SITTING" 9 "tBodyAcc_mean___Z" -0.07537846886
"SITTING" 10 "tBodyAcc_mean___Z" -0.104253238796296
"SITTING" 11 "tBodyAcc_mean___Z" -0.112840218339623
"SITTING" 12 "tBodyAcc_mean___Z" -0.106307228960784
"SITTING" 13 "tBodyAcc_mean___Z" -0.0972465110836735
"SITTING" 14 "tBodyAcc_mean___Z" -0.100401490425926
"SITTING" 15 "tBodyAcc_mean___Z" -0.11366125320339
"SITTING" 16 "tBodyAcc_mean___Z" -0.0891404038405797
"SITTING" 17 "tBodyAcc_mean___Z" -0.11362408509375
"SITTING" 18 "tBodyAcc_mean___Z" -0.111904775824561
"SITTING" 19 "tBodyAcc_mean___Z" -0.10870765430137
"SITTING" 20 "tBodyAcc_mean___Z" -0.108369634515152
"SITTING" 21 "tBodyAcc_mean___Z" -0.112057887741176
"SITTING" 22 "tBodyAcc_mean___Z" -0.105827369516129
"SITTING" 23 "tBodyAcc_mean___Z" -0.103808679294118
"SITTING" 24 "tBodyAcc_mean___Z" -0.103041061426471
"SITTING" 25 "tBodyAcc_mean___Z" -0.109160440476923
"SITTING" 26 "tBodyAcc_mean___Z" -0.0974448692333333
